NVDA,QQQ
-2.256491612,-0.8071683333
2.677723695,0.8241947486
2.440590201,2.046291032
-1.416430852,0.1133887099
-1.135739979,-1.234167215
3.762896464,0.4981870384
-3.12938866,-1.747776133
-2.03020143,-1.414319976
0.004358712001,0.7389074559
4.666053306,2.271972375
0.683357316,0.5232270972
5.277603478,2.601924811
0.7178261953,-0.4737297653
0.6779686985,0.1995701884
1.147823522,1.418139657
1.021522577,-1.369129216
2.69496212,1.17883549
-1.526801903,0.3673679604
-0.9304178796,-0.6874891644
-0.4571104051,-0.5325774057
2.150133391,1.806969027
1.467825248,0.9420795418
1.428596512,1.64939889
0.6745406285,-0.2433391779
-1.847825886,-0.3379080836
-2.105573806,-0.992147826
0.5786569877,0.6719507267
1.98483664,-0.05660869594
-1.497802136,-0.6438425454
-2.512054359,-0.8873046329
-0.1208531397,1.939291027
1.108589563,-0.188166387
0.907745113,0.08471439572
2.432951764,0.006269092238
0.9496761715,-0.04705177735
-3.005582428,-0.7653676122
0.05532449358,0.1042791127
-0.2843335601,-0.2086673968
-3.006817266,-1.904400456
2.688281132,0.6046411646
0.9966536155,2.682774853
1.902733165,0.6874992428
4.098780931,-0.1147719397
-2.45110305,-0.8759807777
-1.456862529,-0.6565421526
-0.8669926677,-0.3536125811
3.976197958,2.103166967
1.628927794,0.2474519432
-2.009706595,-0.6353319516
1.093026413,1.082295062
-1.068526246,0.3254822034
-0.8362974457,-0.3593244289
2.139960905,0.5400307618
0.8940010656,0.113156979
3.249934598,1.203147225
4.850925171,1.840293156
-1.315510664,-0.225586786
-0.2818723727,0.3352387499
-1.577688512,-1.275734142
-0.489988886,-0.5142764238
21.80878477,2.404157398
2.511637438,2.52294759
2.947452534,0.4524813667
-5.844241484,-0.5702326431
4.990473072,1.14858977
-1.120161148,0.7471758036
-0.3974623795,0.07046720163
-1.328636827,-0.01690703666
-3.097624186,-1.711092247
2.724391942,1.233682896
0.6728819227,0.3815467107
1.819810694,1.675584338
3.826362102,0.7654669501
4.702183755,0.7241196777
-0.8032739048,1.184543294
0.09139704064,-0.631280491
2.580483993,-0.2803368651
-1.757031144,-1.372140102
-0.04647658901,1.172982795
-1.914788313,-0.9962904081
-3.807750824,-1.34961255
3.015694361,1.704797749
-1.829120143,0.1949619641
-0.7200538683,-0.2004561646
3.561318603,1.53024955
0.2620590552,0.2352263388
-0.2266003518,-0.002703323087
-0.5069932607,-0.7645028799
0.945566464,-0.3325615799
-0.7628512721,0.03275866917
0.5320104914,0.492840774
3.469360056,1.255092489
4.618139545,1.683614111
-1.111046805,-0.02109862578
2.158243925,0.9295251354
2.199017277,0.814738704
-0.8818855813,-0.02333346356
-3.363271949,-2.332180033
-2.696400852,-0.3003776837
0.6815062264,0.1596058082
2.363582347,0.6754871226
-0.4981893538,-0.3332040687
0.9808317212,-0.2386809999
1.834913867,1.805078861
-0.04492795206,0.05213567013
-0.4762122265,-0.2322294148
-4.93181916,-2.218848454
0.5541535201,-0.1603908443
0.3699749796,-0.4692766902
1.636056558,0.843117009
-1.671867133,-0.8538715382
-4.839396279,-1.105550036
-0.3908563693,0.1846550423
-3.683613164,-0.6396075436
6.853099613,1.115969176
0.4264873706,-1.066826872
-1.038604058,-1.064541408
-0.3270722762,-1.098308695
-0.1038772999,-0.1255687975
8.131573816,1.598302519
-2.804743664,-0.1429955696
3.12148361,1.564552953
0.09970428928,-2.16074682
-2.457708839,0.77215872
1.759819039,0.7498929483
4.077158257,2.160476467
0.9791239584,0.5561250772
0.1845431926,0.2993987896
-1.728971406,-0.1058773511
0.08036824097,0.1270441899
-3.110842123,-0.884695669
-1.757774159,-0.7177299271
-1.457336405,0.1396618755
-0.8683254559,1.171386637
-0.684079374,-1.115032878
1.361316773,0.380183055
0.2108344171,0.8143969218
-3.757663856,-1.727128568
0.1502296955,-0.040458549
-1.019598691,-0.213363213
-2.987662973,-1.451526954
-2.935735378,-1.849450294
1.435389081,0.01397627753
1.460087717,0.4738499852
-0.7393128065,-1.5130137
1.320254815,0.2340552355
1.451694426,0.833046237
0.9470147406,0.07259144798
2.906836226,0.8311087002
-2.865459238,-1.770549979
1.196933109,1.351689717
1.458399308,-0.2950834492
2.374902109,1.661661944
-1.074318888,0.5087082531
1.152959346,0.5522691087
2.17709495,0.7109977129
0.2965333711,-0.3481101837
-3.212194672,-1.264959958
1.384972774,1.124296911
-4.79249496,-0.3280847763
-4.04541522,-1.320471626
-0.2253891363,-0.9400887712
-1.710470735,-1.503028686
3.765174149,0.3012960651
1.588252172,0.9681082642
-4.410723051,-2.478035375
-3.539739547,-1.925129195
0.4305527099,0.4789750351
1.618919555,1.120229982
-0.9299433941,0.4770911911
3.71861923,1.720793523
2.7520927,1.799052148
3.387471302,1.168033259
1.644010322,0.4071003931
0.4448959434,0.9408275207
1.337979334,0.06437154761
0.8040781614,-0.772535831
2.907274268,2.223325356
0.5879045239,-0.3123411726
2.108423151,2.129803859
-1.558724726,0.07523393747
1.203654545,0.08554428429
-0.3684988684,0.02331558646
2.228618804,1.210133722
-0.9267340865,-0.5826402248
-2.489485533,0.4084618994
-1.948408415,-0.1411003722
0.9706595589,-0.08732650423
-0.8765183133,0.261750555
0.6648565148,-0.09743693079
-2.88714225,-0.2517239126
-0.01069503389,0.2850689594
-2.720295184,-0.9326826578
2.293857448,0.2507729963
-2.309241404,-0.5800624827
2.373642557,1.38755131
1.934133342,0.444677448
-1.867626575,0.8505874618
2.184978962,0.7932712602
0.9003137623,1.263704204
0.5433545765,-0.08672085532
1.110664242,0.4822338116
2.398893456,0.4283483166
-0.9490305094,0.5096592976
-3.056068377,-1.49712662
1.810537339,1.156824182
-0.3271329905,0.1494862753
0.9153191576,0.6103087492
0.2796475781,0.1507806887
0.2122496446,-0.04861740565
0,-0.4337130772
-2.772213167,-1.706705088
-1.251359285,-1.063788959
0.8978073515,-0.5159745244
2.263856888,0.1185329825
6.229942579,2.045727292
1.683262453,0.1973574066
2.251462807,0.6754707905
0.8646906779,0.207863618
-0.2045056138,0.05128573435
3.010350684,-0.009769253471
-0.5852247582,-0.5656714499
1.862898989,1.409435459
4.089828187,1.963692375
0.2736172032,0.1305045795
0.3664451593,0.4140988524
2.456512406,0.5533861611
0.4147035998,0.1220444199
-0.9555850372,-0.5975382388
2.322450978,1.018835059
0.4934520773,-0.6678813414
-2.006482371,-1.978049488
2.408710238,1.17066461
4.85127767,1.675932673
4.683055574,-0.1306178866
-1.612484809,-0.2009289943
2.712679226,1.02376335
-0.6555078748,0.1850226021
3.51582252,0.9794934869
0.1592956477,-0.3920251771
-0.1662258642,-1.571993645
2.427046933,1.083829508
-1.69493036,0.2973297994
-0.06195483029,-0.9109053882
-4.450808077,-0.7576765074
-2.892324126,-0.400976471
15.18699364,2.885533219
0.3546097607,-0.2949097391
0.3483022297,-0.05267447786
-0.4955835835,0.240237605